autores;data de apresentação e ementa
Autor: Jair Bolsonaro - PP/RJ.;Data de apresentação: 9/11/2011Ementa: Altera a redação dos artigos 60, 69, 73 e 74, da Lei nº. 9.099, de 26 de setembro de 1995, que dispõe sobre os Juizados Especiais Cíveis e Criminais, possibilitando a composição preliminar dos danos oriundos de conflitos decorrentes dos crimes de menor potencial ofensivo pelos delegados de polícia.
Autor: Jair Bolsonaro - PP/RJ.;Data de apresentação: 23/11/2005Ementa: Parecer às Emendas de Plenário pelo Relator, Dep. Jair Bolsonaro (PP-RJ), pela Comissão de Relações Exteriores e de Defesa Nacional, que conclui pela aprovação das Emendas de nºs 1, 2, 3 e 4.
Autor: Jair Bolsonaro - PP/RJ.;Data de apresentação: 6/10/2015Ementa: Dá nova redação à MPV 693/2015
Autor: Jair Bolsonaro - PP/RJ.;Data de apresentação: 6/10/2015Ementa: Dá nova redação à MPV 693/2015
Autor: Jair Bolsonaro - PP/RJ e outros.;Data de apresentação: 4/9/2006Ementa: Contra a apreciação conclusiva pela Comissão de Constituição e Justiça e de Cidadania sobre o Projeto de  Lei nº 595 de 2003.
Autor: Jair Bolsonaro - PP/RJ.;Data de apresentação: 28/3/2006Ementa: Requer que seu voto e dos demais deputados que desejarem, por ocasião das sessões destinadas à votação de parecer do Conselho de Ética que versem sobre cassação de mandato parlamentar, seja aberto e declarado.
Autor: Jair Bolsonaro - PP/RJ e outros.;"Data de apresentação: 3/4/2006Ementa: Requer a convocação de sessão solene da Câmara dos Deputados em homenagem ao Tenente-coronel da Aeronáutica Marcos César Pontes, primeiro Astronauta brasileiro, integrante da ""Missão Centenário""."
Autor: Jair Bolsonaro - PP/RJ e outros.;Data de apresentação: 7/11/2006Ementa: Requer urgência na apreciação do PL nº 7486 de 2006
Autor: Jair Bolsonaro - PP/RJ.;Data de apresentação: 11/5/2005Ementa: Acrescenta incisos ao art. 2º da MP
Autor: Jair Bolsonaro - PP/RJ.;Data de apresentação: 26/10/2005Ementa: Acrescenta novo art. 3º à presente Medida Provisória, renumerando-se os demais.
Autor: Jair Bolsonaro - PP/RJ.;Data de apresentação: 26/10/2005Ementa: Acrescenta novo artigo à presente Medida Provisória.
Autor: Jair Bolsonaro - PP/RJ.;Data de apresentação: 18/8/2005Ementa: Sugere ao Ministério da Defesa encaminhamento ao Chefe do Poder Executivo Proposta de Emenda Constitucional que crie Fundo próprio para organização e manutenção das Forças Armadas.
Autor: Jair Bolsonaro - PP/RJ.;Data de apresentação: 6/10/2015Ementa: Dá nova redação à MPV 693/2015
Autor: Jair Bolsonaro - PP/RJ.;Data de apresentação: 6/10/2015Ementa: Dá nova redação à MPV 693/2015
Autor: Jair Bolsonaro - PSC/RJ.;Data de apresentação: 14/12/2016Ementa: Parecer do Relator, Dep. Jair Bolsonaro (PSC-RJ), pela rejeição deste, e do PL 6.519/2016, apensado.
Autor: Jair Bolsonaro - PPB/RJ.;Data de apresentação: 7/6/2001Ementa: Parecer do Relator, Dep. Jair Bolsonaro, pela aprovação deste, com substitutivo, e pela rejeição do PDC-864/2001, apensado.
Autor: Jair Bolsonaro - PP/RJ.;Data de apresentação: 30/4/2013Ementa: Inclui o Capítulo II-A, no Decreto-lei nº 667, de 2 de julho de 1969, versando sobre garantias dos integrantes da polícia militar e dos corpos de bombeiros militares,
Autor: Jair Bolsonaro - PP/RJ.;Data de apresentação: 22/6/2006Ementa: Altera dispositivos da Lei n° 10.826, de 22 de dezembro de 2003 (Estatuto do Desarmamento), que dispõe sobre registro, posse e comercialização de armas de fogo e munição, sobre o Sistema Nacional de Armas - Sinarm, define crimes e dá outras providências. Explicação: Prorroga até 31 de dezembro de 2007 o prazo para registro e entrega / devolução de arma de fogo.
Autor: Jair Bolsonaro - PSC/RJ.;Data de apresentação: 9/3/2016Ementa: Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940, que institui o Código Penal, para dispor sobre o furto, roubo, dano e receptação de defensivos agrícolas, seus componentes e afins.
Autores: Jair Bolsonaro - PSC/RJ,Eduardo Bolsonaro - PSC/SP.;Data de apresentação: 15/3/2016Ementa: Altera a Lei nº 8.072, de 25 de julho de 1990, para incluir no rol dos crimes hediondos aqueles dolosos, praticados com arma de fogo, mediante violência ou grave ameaça à pessoa.
Autor: Jair Bolsonaro - PSC/RJ.;Data de apresentação: 13/7/2016Ementa: Dispõe sobre as ações contraterroristas e dá outras providências. Explicação: Altera as Leis nº  10.257, de 2001 e 9.807, de  1999.
Autor: Jair Bolsonaro - PSC/RJ.;Data de apresentação: 14/7/2016Ementa: Revoga a Lei 13.290, de 23 de maio de 2016, para deixar de tornar obrigatório o uso, nas rodovias, de farol baixo aceso durante o dia.
Autor: Jair Bolsonaro - PSC/RJ.;Data de apresentação: 23/8/2016Ementa: Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940, que institui o Código Penal, para dispor sobre o crime de obstrução do trânsito de qualquer natureza nas vias terrestres do território nacional.
Autores: Eduardo Bolsonaro - PSC/SP,Jair Bolsonaro - PSC/RJ.;Data de apresentação: 14/12/2016Ementa: Acrescenta o artigo 255-A ao Código de Trânsito Brasileiro, instituído pela Lei nº 9.503, de 23 de setembro de 1997, para isentar de penalidades condutores de veículos em serviço de segurança pública e urgência, na forma que especifica.
Autores: Jair Bolsonaro - PSC/RJ,Subtenente Gonzaga - PDT/MG.;Data de apresentação: 23/8/2016Ementa: Requer o encaminhamento de consulta ao Tribunal de Contas da União, visando à manifestação daquela Corte quanto à possibilidade de aplicação da Lei nº 12.158, de 28 de dezembro de 2009, concomitantemente ao disposto no art. 34 da Medida Provisória nº 2.215-10, de 31 de agosto de 2001.
Autor: Jair Bolsonaro - PSC/RJ.;Data de apresentação: 22/3/2016Ementa: Requer a retirada de assinatura da Frente Parlamentar Franco Montoro em Defesa do Parlamentarismo.
Autores: Eduardo Bolsonaro - PSC/SP,Jair Bolsonaro - PSC/RJ.;Data de apresentação: 23/8/2016Ementa: Requer a inclusão na Ordem do Dia da Proposta de Emenda à Constituição nº 308, de 2004, que altera a redação dos artigos 21, 32 e 144, da Constituição Federal, criando as polícias penitenciárias federal e estaduais.
Autor: Jair Bolsonaro - PP/RJ.;Data de apresentação: 1/3/2016Ementa: Solicita informações ao Senhor Ministro de Estado da Cultura sobre doações e patrocínios realizados com base no disposto na Lei nº 8.313, de 23 de dezembro de 1991 (Lei Rouanet).
Autor: Jair Bolsonaro - PSC/RJ.;Data de apresentação: 9/3/2016Ementa: Solicita informações à Senhora Ministra de Estado das Mulheres, Igualdade Racial e Direitos Humanos, quanto às despesas decorrentes das Conferências Nacionais convocadas por meio do Decreto de 18 de novembro de 2015, publicado na Seção 1 do Diário Oficial da União nº 221, de 19 de novembro de 2015.
Autor: Jair Bolsonaro - PSC/RJ.;Data de apresentação: 9/3/2016Ementa: Solicita informações ao senhor Ministro de Estado de Minas e Energia quanto à exploração de jazidas de potássio, nos quesitos que especifica.
Autor: Jair Bolsonaro - PSC/RJ.;Data de apresentação: 1/6/2016Ementa: Solicita informações ao Senhor Ministro de Estado da Defesa sobre voos realizados em aeronaves oficiais, nos trajetos entre Brasil, Cuba, Venezuela e Uruguai, nos últimos 5 anos.
Autor: Jair Bolsonaro - PSC/RJ.;Data de apresentação: 14/7/2016Ementa: Solicita informações ao Senhor Ministro de Estado da Defesa sobre o posicionamento daquela pasta acerca da obrigatoriedade de submissão dos militares inativos das Forças Armadas aos testes de avaliação de aptidão psicológica a que faz menção o inciso III do caput art. 4º da Lei nº 10.826, de 2003.
